"","year","mes","Categoria","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura"
"1",2016,1,"Normal",88.2282004295562,88.0580268204523,91.501700113819,85.2849760314411
"2",2016,1,"CPP",3.093527273107,4.22874773927447,3.01272653040795,5.08305379184147
"3",2016,1,"Deficiente",1.0707205546175,2.47803252094652,1.11171236948519,2.34733778231199
"4",2016,1,"Dudoso",1.4180083801851,1.58262680370202,0.872220774853209,2.44480227962273
"5",2016,1,"Perdida",6.18954336253425,3.65256611562472,3.50164021143464,4.83983011478266
"6",2016,2,"Normal",88.3031020481551,88.00215611694,91.0601268564621,85.44050948109
"7",2016,2,"CPP",3.07073363924476,4.22913613126471,3.44307886890424,5.12583605873115
"8",2016,2,"Deficiente",1.13225197326254,2.36720683197767,1.02572411557746,2.1104953986451
"9",2016,2,"Dudoso",1.31308278754346,1.55060404478922,0.934146016912087,2.44727646004564
"10",2016,2,"Perdida",6.18082955179412,3.85089687502843,3.53692414214412,4.87588260148815
"11",2016,3,"Normal",88.311975413065,87.9170099749409,91.0714094432238,84.9946953608985
"12",2016,3,"CPP",3.16474824055474,4.25028120862717,3.62252274650707,5.22010392703295
"13",2016,3,"Deficiente",1.15437572281858,2.39308625714955,0.898817460234278,2.32307369695039
"14",2016,3,"Dudoso",1.3338981210913,1.52483633199442,0.973547914826036,2.54933035814612
"15",2016,3,"Perdida",6.03500250247038,3.91478622728798,3.43370243520878,4.912796656972
"16",2016,4,"Normal",88.4609781435716,88.2627364647994,90.523714846634,85.4164807464708
"17",2016,4,"CPP",2.9921300348479,3.91809747375436,4.15213035250211,4.83110592701729
"18",2016,4,"Deficiente",1.10018116935594,2.26984609511479,0.854029917650073,2.27939575159466
"19",2016,4,"Dudoso",1.33557148434918,1.54470110050418,0.952180971440571,2.57440433401814
"20",2016,4,"Perdida",6.11113916787537,4.00461886582725,3.51794391177326,4.89861324089912
"21",2016,5,"Normal",88.5204710853412,88.2110026607548,90.586969160637,85.6980057312978
"22",2016,5,"CPP",3.06169185224458,3.8608740208738,4.03762303937307,4.4582812825713
"23",2016,5,"Deficiente",1.13498802811396,2.28554680625392,0.852651789605332,1.96769759516545
"24",2016,5,"Dudoso",1.34174593978481,1.6224631511058,0.979346549463013,2.79636450641842
"25",2016,5,"Perdida",5.94110309451543,4.02011336101169,3.54340946092158,5.07965088454706
"26",2016,6,"Normal",88.5960245482407,88.2865675645144,90.398128377712,86.7274832762659
"27",2016,6,"CPP",3.12541525474972,4.21226469950648,4.10465092250821,4.37498392597556
"28",2016,6,"Deficiente",1.14994062816781,2.12991744565873,1.09899920071909,1.98424484169491
"29",2016,6,"Dudoso",1.28931074144154,1.46138794270437,1.05980178253667,2.79873467973667
"30",2016,6,"Perdida",5.83930882740024,3.909862347616,3.338419716524,4.11455327632694
"31",2016,7,"Normal",88.5438735133169,88.1044572289838,89.977575355229,86.5326099626295
"32",2016,7,"CPP",3.22681494234176,4.34091973599927,4.29305368641966,4.27847223193366
"33",2016,7,"Deficiente",1.11556694366581,2.05894073006347,1.23183924163109,2.04939883044644
"34",2016,7,"Dudoso",1.28662569916475,1.51039080502342,1.0525964171238,2.86826720099243
"35",2016,7,"Perdida",5.82711890151074,3.98529149993009,3.44493529959644,4.27125177399797
"36",2016,8,"Normal",88.9826515481844,88.9615980557683,90.5837083401864,87.172815970451
"37",2016,8,"CPP",2.98905918866786,3.62102558725282,3.69509751111307,3.66571396520968
"38",2016,8,"Deficiente",1.04196013692666,1.88020796738163,1.17733018692809,2.06142636204986
"39",2016,8,"Dudoso",1.29063107844801,1.48777787547891,0.998461720648681,2.64179503652732
"40",2016,8,"Perdida",5.69569804777311,4.04939051411833,3.54540224112381,4.45824866576213
"41",2016,9,"Normal",89.3261198523972,89.1727567851065,90.5369187450688,87.1380463847715
"42",2016,9,"CPP",2.87562572835867,3.66016520197501,3.83015218192503,3.84931869119766
"43",2016,9,"Deficiente",0.986211707242825,1.92488209998417,1.16824892937723,1.87419032723704
"44",2016,9,"Dudoso",1.26716386833795,1.44746605974118,1.08242775150727,2.57523718811531
"45",2016,9,"Perdida",5.54487884366338,3.79472985319316,3.38225239212171,4.56320740867845
"46",2016,10,"Normal",89.141303757781,88.937542301425,90.712379351214,87.3791948958124
"47",2016,10,"CPP",3.04057629936208,3.91139285385888,3.77379977372049,3.79134569932617
"48",2016,10,"Deficiente",1.09286097488113,1.91825528413654,1.14601326164678,1.77471192513893
"49",2016,10,"Dudoso",1.22418352719109,1.3893208412517,0.961281410034535,2.55377777934338
"50",2016,10,"Perdida",5.50107544078476,3.84348871932783,3.40652620338418,4.50096970037911
"51",2016,11,"Normal",89.4198469566039,89.2080357756926,90.9418331421515,87.4395142914858
"52",2016,11,"CPP",2.94037457716072,3.7820486411419,3.6799572971321,3.46345475039155
"53",2016,11,"Deficiente",1.0452693009747,1.70079669931331,1.08370358937707,1.90686553257234
"54",2016,11,"Dudoso",1.27259756276338,1.44459110815199,0.980171604095163,2.62966379282484
"55",2016,11,"Perdida",5.32191160249733,3.86452777570025,3.31433436724421,4.5605016327255
"56",2016,12,"Normal",90.1566603824594,89.757284085481,90.9870824869239,87.384002266522
"57",2016,12,"CPP",2.95167513406331,3.46042260354013,4.08636547705064,3.3483289082617
"58",2016,12,"Deficiente",0.93631266701587,1.64508123238044,0.919730107061077,2.15309908837122
"59",2016,12,"Dudoso",1.28901014142631,1.59445892864567,0.903363863062733,2.44538477652343
"60",2016,12,"Perdida",4.66634167503507,3.54275314995278,3.10345806590159,4.66918496032163
