"","concepto","CMAC                      Arequipa","CMAC                      Cusco","CMAC Huancayo","CMAC                            Piura","year","mes"
"49","Ratio de Capital Global",14.31,15.94,14.41,14.29,2017,5
"50","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.2414882564396,16.7445550582331,20.7738769981549,12.6138259400605,2017,5
"51","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.20602348490853,2.63124672096706,2.79611879351501,1.60379511195998,2017,5
"52","Ratio de Capital Global",14.18,16.08,14.35,14.17,2017,6
"53","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.1702685898282,16.8010975297,21.4762597522677,12.8428611540951,2017,6
"54","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.19651156648929,2.64389608181647,2.86520223681909,1.61958278560918,2017,6
"55","Ratio de Capital Global",14.14,16.01,14.33,14.09,2017,7
"56","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.271974082033,16.7468425949341,22.2313251400843,13.4796356998721,2017,7
"57","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.20705222100959,2.63249614458589,2.94704054724705,1.68526741700347,2017,7
"58","Ratio de Capital Global",14.36,15.93,14.32,14.15,2017,8
"59","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",17.99229449073,16.6463312118345,22.1457107574416,13.8988545760104,2017,8
"60","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.1672422363033,2.61902857862265,2.92252361844245,1.72169407734047,2017,8
"61","Ratio de Capital Global",14.27,15.82,14.34,14.09,2017,9
"62","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",17.3309023820256,16.7389089266272,22.1389857881377,14.0708808690238,2017,9
"63","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.08174446455511,2.63424483091382,2.91066601231687,1.72693016203928,2017,9
"64","Ratio de Capital Global",14.16,15.68,14.88,14.12,2017,10
"65","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",16.7648071571797,16.6254572984982,21.7405228432634,14.6454476287509,2017,10
"66","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.00895978579374,2.61290317099681,2.85123014792301,1.78025326678742,2017,10
"67","Ratio de Capital Global",14.11,15.77,14.59,13.93,2017,11
"68","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",17.2915913166501,16.6329308359779,20.5266951256164,14.9575235947169,2017,11
"69","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.07133609092565,2.61146996726599,2.68492678587804,1.80068468206761,2017,11
"70","Ratio de Capital Global",14.5,15.58,14.43,13.69,2017,12
"71","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.247803831682,16.0965972891362,21.2561034416137,14.3479433466678,2017,12
"72","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.18792943664846,2.51689120626549,2.77681413506532,1.71196458060406,2017,12
"73","Ratio de Capital Global",14.21,15.62,14.44,13.82,2018,1
"74","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.7007333860246,16.1789207901835,20.9956619047281,14.7895421664648,2018,1
"75","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.24463346152854,2.5222888941438,2.74313879255214,1.74711864598722,2018,1
"76","Ratio de Capital Global",14.27,15.5,14.33,13.81,2018,2
"77","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.5317888608634,16.3080634663251,21.0067471363594,14.6192499959422,2018,2
"78","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.22482244487062,2.53368604155741,2.74578840876533,1.7088925051135,2018,2
"79","Ratio de Capital Global",14.26,15.6,14.88,13.81,2018,3
"80","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.4829361575434,16.2518106394386,20.7845673198838,14.823191399917,2018,3
"81","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.22112189615893,2.52745273243869,2.72836452960709,1.71554415482827,2018,3
"82","Ratio de Capital Global",14.19,15.6,14.77,14.02,2018,4
"83","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.6483592685735,16.3431730564013,20.4574367528588,15.8869283727197,2018,4
"84","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.24338145512961,2.53666208122081,2.69641628766469,1.82147323479222,2018,4
"85","Ratio de Capital Global",14.16,15.47,14.72,14.1,2018,5
"86","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.5697339042251,16.4724655461386,20.1784025575278,15.8923877129447,2018,5
"87","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.23818247531087,2.55159716122894,2.67043595030953,1.80500472759024,2018,5
"88","Ratio de Capital Global",14.2,15.44,14.63,14.12,2018,6
"89","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.3548991959016,16.5357274343529,19.2252180938087,15.1772246917013,2018,6
"90","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.21915604141823,2.55295316918799,2.55381542805099,1.70915098576926,2018,6
"91","Ratio de Capital Global",14.43,15.37,14.61,13.91,2018,7
"92","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.7540972665798,16.4882223767725,18.7687366149383,14.9243881763402,2018,7
"93","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.273460536257,2.54157782941647,2.50250050170512,1.66742011123854,2018,7
"94","Ratio de Capital Global",14.4,15.34,14.02,13.91,2018,8
"95","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",18.8189286314635,16.515184263241,18.5097592294388,13.8951320825601,2018,8
"96","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.28956921394184,2.53743997531697,2.46759514426014,1.54086783607801,2018,8
"97","Ratio de Capital Global",14.25,15.3,13.97,14.05,2018,9
