"","year","mes","CMAC Arequipa","CMAC Piura","CMAC Huancayo","CMAC Cusco","Mes"
"1",2016,1,22.1799745510207,13.9147546930947,13.4879679003455,11.6344580874277,2016-01-01
"2",2016,2,22.0807620244581,14.0246770851021,13.5695800001887,11.6155517162148,2016-02-01
"3",2016,3,21.984262716074,14.0008617632707,13.7052814225228,11.6294510846287,2016-03-01
"4",2016,4,22.0892650733584,14.0592035372755,13.698135888563,11.6053268007522,2016-04-01
"5",2016,5,22.0666702690206,14.1624960058557,13.8361706327765,11.6488218077406,2016-05-01
"6",2016,6,22.3440256931583,14.019130615726,14.0464102190461,11.7565766008851,2016-06-01
"7",2016,7,22.3290020380359,14.0415756577495,14.1379275891418,11.7237732164169,2016-07-01
"8",2016,8,22.2791265426893,14.1077437162315,14.2705566998479,11.7417381004347,2016-08-01
"9",2016,9,22.2182223493279,14.256847522663,14.26738986362,11.7384163151616,2016-09-01
"10",2016,10,22.0935594434297,14.4964344175468,14.3624008574339,11.6451334794399,2016-10-01
"11",2016,11,21.9497414610633,14.6533518695271,14.6189314255611,11.5796535776973,2016-11-01
"12",2016,12,21.6810872062528,14.7665556962876,14.8775351893076,11.5264432867629,2016-12-01
"13",2017,1,21.6787940537853,14.9477566324839,14.8181700451655,11.5515432298257,2017-01-01
"14",2017,2,21.5784447303776,15.0993015257107,14.8171165770467,11.5370193810293,2017-02-01
"15",2017,3,21.6286024775042,15.0573252424464,14.9778398587469,11.5438286123798,2017-03-01
"16",2017,4,21.5170848831026,15.1570972201805,15.0402006447835,11.5434983381595,2017-04-01
"17",2017,5,21.3864254010786,15.3410841718834,15.0638030609264,11.5481399577833,2017-05-01
"18",2017,6,21.387454808019,15.6087654095918,15.1367436749434,11.5437457675107,2017-06-01
"19",2017,7,21.353570007122,15.7381164667244,15.1415745269109,11.5718356467824,2017-07-01
"20",2017,8,21.2946439776916,15.788433997524,15.2112155776658,11.6764289992059,2017-08-01
"21",2017,9,21.3531480580883,15.9039293332548,15.2315782893838,11.6974259729944,2017-09-01
"22",2017,10,21.336685266355,15.9223008154911,15.2786204855803,11.7500147156525,2017-10-01
"23",2017,11,21.324849272498,16.0317971279088,15.5478081383547,11.752303569295,2017-11-01
"24",2017,12,21.2269686630846,16.0792182098773,16.0019509296329,11.8639141594994,2017-12-01
"25",2018,1,21.322513708109,16.177550364881,15.9133304784749,11.9454306544691,2018-01-01
"26",2018,2,21.2825959868121,16.2985511135704,16.0065663306715,12.0303714104972,2018-02-01
"27",2018,3,21.3671568449131,16.4284339266725,16.0516198401614,12.0575963602862,2018-03-01
"28",2018,4,21.4274831779935,16.4599199344651,16.1420888602134,12.1480117653751,2018-04-01
"29",2018,5,21.5159968621803,16.5211358885598,16.283067297181,12.2830407943307,2018-05-01
"30",2018,6,21.6570599473042,16.5037513609676,16.4511017798481,12.3506837085349,2018-06-01
"31",2018,7,21.7158179150418,16.4009670523827,16.593774737489,12.5016042224964,2018-07-01
"32",2018,8,21.708669044789,16.5514093225068,16.6369939964203,12.5956356433249,2018-08-01
"33",2018,9,21.7639446871605,16.7357535611042,16.7541045153698,12.5806714285135,2018-09-01
"34",2018,10,21.8123807136224,16.826736515831,16.9202651706666,12.5915686604708,2018-10-01
"35",2018,11,21.8107345996725,16.8231024619844,17.2656919529503,12.6653385895666,2018-11-01
"36",2018,12,21.9927135017864,16.6903466783418,17.6474419181253,12.7028377345668,2018-12-01
"37",2019,1,22.0405086848577,16.6943274269668,17.6887198001975,12.7917774614163,2019-01-01
"38",2019,2,21.9789807150661,16.9116919319859,17.7522355793745,12.8083647422884,2019-02-01
"39",2019,3,21.9562590436067,16.9741304278664,17.8687077114988,12.846024124035,2019-03-01
"40",2019,4,21.9289440539334,17.0464375527029,17.9702639202653,12.9327384530041,2019-04-01
"41",2019,5,21.9421106951876,17.0785820107498,18.0221837408112,12.9770672831009,2019-05-01
"42",2019,6,21.9811343574356,16.8816459367783,18.2180537332655,13.0216179645364,2019-06-01
"43",2019,7,22.0613389206836,16.7519445903898,18.2720003396784,13.1053890437418,2019-07-01
"44",2019,8,22.1984799434741,16.7402750577185,18.2881261450169,13.1477104874027,2019-08-01
"45",2019,9,22.3456946144316,16.7039635416413,18.2022916098751,13.2113659048459,2019-09-01
"46",2019,10,22.3862802649294,16.5662289922578,18.4644537026367,13.2051540698028,2019-10-01
"47",2019,11,22.2622046831122,16.4870361033579,18.7633085909401,13.2010925828556,2019-11-01
"48",2019,12,22.3821557178476,16.3733606257549,19.1090913972324,13.152291688167,2019-12-01
"49",2020,1,22.5558679899467,16.3405378505436,18.9589545747239,13.2997089804476,2020-01-01
"50",2020,2,22.5957062262855,16.4170957464449,18.8506732407639,13.3498101775366,2020-02-01
"51",2020,3,22.4343757585241,16.4124627220647,18.9067224558159,13.4543740187529,2020-03-01
"52",2020,4,22.3791471335899,16.4153520639243,18.9320269967635,13.5262265874019,2020-04-01
"53",2020,5,22.1451747813836,16.3942831906629,18.8881775025297,13.8862550996764,2020-05-01
"54",2020,6,21.8992553576196,16.3656514706786,18.7668934892954,14.0454978202258,2020-06-01
"55",2020,7,21.6409234540997,16.2677404903214,18.4673562396508,14.778100643246,2020-07-01
"56",2020,8,21.3595374335719,16.156343287467,18.0765811396986,15.4461119897521,2020-08-01
"57",2020,9,21.8027948638582,16.0819125102067,18.2029122298257,15.4521728202101,2020-09-01
"58",2020,10,21.5619332305841,16.0846628941055,18.439301093413,15.5684161273466,2020-10-01
"59",2020,11,21.4006844147292,15.9625494285916,18.5936765555511,15.5990953424856,2020-11-01
"60",2020,12,21.3793587740677,15.7769620694199,19.0513229706594,15.5742771311607,2020-12-01
"61",2021,1,21.4160637071619,15.6683834278638,18.9390300100624,15.688075081666,2021-01-01
"62",2021,2,21.5230949510328,15.5823498957833,18.8485663682242,15.7519708991796,2021-02-01
"63",2021,3,21.6835193930294,15.4010003718691,18.7817896311467,15.8503214656532,2021-03-01
"64",2021,4,21.8273181605166,15.3512982514817,18.6757546607694,15.8902225956157,2021-04-01
"65",2021,5,21.9541670897339,15.251650894921,18.7750614912011,15.9052492081491,2021-05-01
"66",2021,6,22.1077074909648,15.0139561955403,19.0009139782601,15.9208334380808,2021-06-01
"67",2021,7,22.2139986638989,14.8827440241696,19.0415928169578,15.9761159442133,2021-07-01
"68",2021,8,22.3789671760705,14.9753605396347,19.1382490525427,16.0502016905826,2021-08-01
"69",2021,9,22.3784938544287,15.09859199511,19.295963410965,15.9572605202225,2021-09-01
