"","year","tri","volCobre","ied","pbiChina","precioCobre","tipoCambio","volCobre_var","ied_var","pbiChina_var","precioCobre_var","tipoCambio_var"
"1","00","1",125.548399860723,96.7476900082424,28.8322934013885,81.3391036746983,115.228734854507,NA,NA,NA,NA,NA
"2","00","2",106.335301979198,296.734690008242,32.5002162770076,78.9111335633241,116.007703648556,-15.3033395111678,206.709844940961,12.7215786290606,-2.98499737725713,0.676019566675423
"3","00","3",125.958695369285,147.962690008242,34.7563909855743,85.002830638987,115.40639616559,18.4542602737197,-50.1363692919988,6.94202982939185,7.7196927741185,-0.518334096835471
"4","00","4",164.113072037791,268.251690008242,39.462849017021,83.7844334697265,116.208076721193,30.2911812135281,81.2968458422184,13.5412736995625,-1.43336070116898,0.694658686380523
"5","01","1",113.798828209384,234.5,32.5583407227978,80.0779761913814,116.816938871042,-30.6582791996124,-12.5820978079225,-17.4962235778902,-4.42380180285448,0.523941336116818
"6","01","2",129.194216935745,75.56,36.1271816943141,75.0631144347866,119.360775649499,13.5286003982697,-67.7782515991471,10.9613723927195,-6.26247314818442,2.17762663791867
"7","01","3",200.959898591216,266.435,38.2990083699202,66.8798260623294,117.275637694912,55.5486796217541,252.613816834304,6.01161389776479,-10.9018769525833,-1.74692058026635
"8","01","4",234.378264451305,493.365,42.8725912148279,64.7838367849257,115.714613834532,16.6293703840223,85.1727438211947,11.9417787550338,-3.13396340990832,-1.33107258341351
"9","02","1",192.690647190046,206.201764275272,35.5437744663365,70.7017080081341,117.471021185529,-17.7864689624068,-58.2050278647103,-17.094410533219,9.13479583318752,1.51787859181665
"10","02","2",216.677444603752,458.508199347103,39.4635248826697,73.1229755871276,117.218260671101,12.4483454508554,122.359008885594,11.0279520821449,3.42462388421365,-0.215168398025123
"11","02","3",219.319392370261,1065.08191471135,42.2514706836516,68.8042857648805,121.516728741762,1.2192998543713,132.2928829251,7.06461424637264,-5.90606411674444,3.66706351557511
"12","02","4",207.231718210523,426.044936399727,47.2704489910678,70.4645045025669,120.8347769965,-5.5114479522774,-59.9988573165107,11.8788251064551,2.41295831971833,-0.561199887722386
"13","03","1",181.643379278891,448.160194633832,40.3160618119688,75.3486752515122,118.246049756957,-12.3476942393718,5.19082762043577,-14.7119126801886,6.93139160407688,-2.1423693607826
"14","03","2",191.493083011024,128.23161,43.9816867443822,74.4581897111133,117.523488040911,5.42255036832915,-71.387104090141,9.0922197448492,-1.18181976979226,-0.611066261858628
"15","03","3",194.27077475289,185.270729203185,47.7051657763263,79.5197308726871,118.522518369534,1.45054416493262,44.4813250049539,8.46597597219192,6.7978300052846,0.850068650340674
"16","03","4",204.503308187029,513.344539203185,53.7548391980449,93.5139679899756,117.630786033449,5.26715016561532,177.078058369492,12.6813801467192,17.598446277055,-0.752373766902859
"17","04","1",206.07389176211,445.509515321667,46.6950169777451,123.509768912653,116.397384584165,0.767999104271033,-13.2143265781714,-13.1333705497468,32.0762786217062,-1.04853626408081
"18","04","2",213.591435010103,403.587560471667,52.3130825961892,126.308212950797,117.017637227848,3.64798431461235,-9.40988989196594,12.0314028820713,2.26576736624213,0.532875069228211
"19","04","3",250.117214864114,318.51990593,56.5767134545926,129.469352535015,113.949130836591,17.1007699125591,-21.0778683174104,8.15021911691749,2.50271895260585,-2.62225974130883
"20","04","4",251.475271051458,431.421407241667,63.1796504963557,140.390210758717,111.269385439352,0.542967899303459,35.4456657840653,11.6707681280612,8.43509140184286,-2.35170323596608
"21","05","1",226.051212227879,516.812986835,54.6819916949629,148.1114742186,110.269529174063,-10.1099637818371,19.793078915414,-13.4499933675369,5.49985887061093,-0.898590624312967
"22","05","2",224.638956259865,601.67212333,60.5482351796181,153.721637548393,110.792447688253,-0.624750451057221,16.4196989349442,10.7279257810858,3.78779791328852,0.474218506333601
"23","05","3",238.010791760871,799.682168965,64.9477150334148,170.13862867107,112.544894487958,5.95258975720012,32.9099584237173,7.26607446236138,10.6796878985292,1.58173849957355
"24","05","4",284.12656698799,660.55208598,73.0270129982482,195.295800448356,117.06021997393,19.3754975923325,-17.3981724720799,12.4396954699279,14.786278679795,4.01202160836813
"25","06","1",205.124908542343,1106.77573192684,63.6380225793196,224.276190268352,114.333384188325,-27.8050937943393,67.5531355388606,-12.8568731397432,14.8392283671559,-2.32942991753528
"26","06","2",216.416431638622,1652.04376259064,71.2001481497502,327.262607298162,113.877183245685,5.50470597477348,49.2663522459529,11.8830304021547,45.9194606911165,-0.399009393344441
"27","06","3",266.942169178322,129.807279341406,75.7844096719078,348.273656350532,113.163257801422,23.3465348065942,-92.142624651913,6.4385561565347,6.4202412936311,-0.626925801916556
"28","06","4",269.776818672334,577.90428741433,85.9993079135757,320.120511066118,111.58211683741,1.06189647845352,345.201756285473,13.4788913523126,-8.08362756443416,-1.39722114291422
"29","07","1",234.047898,1277.86204985,77.2640147500919,270.638681120603,111.34656182755,-13.2438809413531,121.120015490356,-10.1573993737976,-15.457250702469,-0.211104625487213
"30","07","2",248.362227,1883.83120867218,87.5673162186128,346.600341872529,111.760504116111,6.1159827207677,47.4205458166091,13.3351877997106,28.0675550284977,0.371760278689837
"31","07","3",279.151911,1902.96467228222,93.9211291822566,349.995808489722,109.975145779688,12.3970880644423,1.01566762043008,7.255918347185,0.979648952118506,-1.59748593704309
"32","07","4",308.033531,360.726404285116,106.33975495815,327.011046373093,104.404975604564,10.3462017854501,-81.043977876242,13.222398286753,-6.56715353701263,-5.06493547758751
