"","Edad","EstadoCivil","MiembrosHogar","Educacion","Sexo","Ingresos","Ahorro"
"1161",45,"1",3,"3","0","2","Case"
"1164",70,"3",4,"3","1","2","Control"
"1166",45,"3",2,"2","1","2","Control"
"1167",69,"2",4,"3","0","2","Control"
"1245",69,"2",3,"2","0","2","Control"
"1252",64,"2",3,"1","0","3","Case"
"1253",67,"2",4,"2","0","2","Control"
"1255",51,"2",3,"3","0","2","Case"
"1285",57,"2",2,"3","1","2","Case"
"1286",30,"2",3,"3","0","3","Case"
"1291",45,"2",7,"3","0","3","Case"
"1293",64,"2",2,"2","0","0","Control"
"1295",43,"2",4,"2","0","3","Case"
"1296",58,"3",6,"3","0","2","Case"
"1297",63,"2",2,"2","0","0","Control"
"1298",59,"3",6,"2","1","0","Control"
"1307",63,"2",3,"2","0","3","Case"
"1309",50,"3",4,"3","1","3","Control"
"1310",48,"2",4,"3","0","3","Case"
"1311",70,"2",2,"3","0","2","Case"
"1313",62,"3",3,"2","1",NA,"Case"
"1412",64,"3",2,"2","0","2","Control"
"1413",68,"2",2,"3","0",NA,"Control"
"1415",29,"2",4,"3","0","2","Control"
"1416",57,"2",6,"2","0","2","Case"
"1419",57,"2",5,"2","0","2","Case"
"1420",45,"2",3,"3","0","2","Control"
"1421",60,"2",6,"3","0","2","Case"
"1422",69,"2",2,"1","0","1","Case"
"1423",51,"2",2,"2","0","2","Case"
"1424",33,"2",8,"2","0","2","Control"
"1425",35,"2",3,"2","0","2","Control"
"1426",62,"2",5,"2","0","3","Control"
"1427",67,"2",2,"2","1","2","Case"
"1430",57,"2",3,"2","0","2","Control"
"1431",33,"2",3,"3","0","3","Case"
"1435",33,"2",5,"3","0","2","Control"
"1436",29,"2",2,"2","0","1","Case"
"1438",45,"2",4,"3","0","3","Case"
"1439",52,"3",3,"2","1","2","Control"
"2814",45,"2",4,"2","0","2","Control"
"2816",65,"2",5,"3","0",NA,"Control"
"2820",52,"2",4,"2","0","2","Control"
"2836",40,"2",5,"2","0","2","Case"
"2838",38,"2",3,"3","0","1","Control"
"2839",27,"2",2,"3","0","1","Control"
"2842",65,"2",2,"3","0","3","Case"
"2843",69,"2",2,"3","0","2","Case"
"2845",49,"3",3,"3","0","3","Case"
"2848",48,"3",7,"2","1","2","Control"
"2849",59,"3",4,"2","1",NA,"Case"
"2850",57,"3",4,"2","1",NA,"Control"
"2852",61,"3",7,"2","1",NA,"Control"
"2854",49,"2",3,"2","0","1","Control"
"2856",31,"2",3,"2","0","1","Control"
"2858",65,"2",2,"1","0","1","Control"
"2859",25,"2",3,"2","0","1","Control"
"2863",23,"2",4,"2","0","1","Control"
"2870",61,"2",4,"2","0","2","Case"
"2879",49,"3",5,"2","1",NA,"Control"
"2880",48,"2",6,"2","0","1","Control"
"2888",41,"2",4,"1","0","1","Control"
"2897",48,"1",1,"2","0","1","Control"
"2898",49,"1",1,"2","1","1","Control"
"2899",37,"2",4,"2","0","1","Control"
"2900",20,"1",1,"2","0","1","Control"
"2977",26,"3",3,"2","1","1","Control"
"2979",36,"1",5,"2","1","0","Control"
"2980",44,"3",1,"3","0","3","Case"
"2981",51,"2",8,"2","1","0","Control"
"2982",36,"2",3,"2","1","1","Control"
"2985",55,"3",1,"1","0","2","Case"
"2986",38,"1",4,"3","1","2","Case"
"2991",52,"2",5,"2","0","2","Control"
"3233",42,"3",5,"2","1","1","Control"
"3234",35,"3",2,"2","1","1","Control"
"3237",36,"3",2,"2","1","2","Control"
"3238",67,"3",3,"1","1",NA,"Control"
"3245",70,"2",2,"2","0","1","Case"
"3247",50,"3",2,"2","1","2","Case"
"3249",70,"2",8,"2","0","2","Control"
"3250",20,"1",1,"2","0","2","Case"
"3252",68,"2",2,"2","0","2","Case"
"3257",60,"2",5,"2","0","3","Case"
"3258",56,"1",6,"3","0","3","Case"
"3261",70,"3",3,"2","1","1","Control"
"3266",51,"3",3,"2","1","2","Control"
"3267",70,"2",2,"2","0","3","Control"
"3270",52,"3",1,"2","1","3","Case"
"3271",33,"3",6,"2","1","2","Control"
"3274",53,"2",5,"2","0","2","Control"
"3275",39,"2",4,"2","0","2","Control"
"3277",35,"2",3,"2","0","2","Case"
"3315",39,"3",6,"2","1","1","Control"
"3648",34,"3",3,"2","1",NA,"Control"
"3698",54,"1",7,"3","0","3","Case"
"3699",35,"2",3,"2","0","1","Case"
"3704",56,"3",3,"3","1","3","Case"
"3721",38,"2",4,"2","0","2","Case"
"3723",41,"2",4,"3","0","1","Case"
"3724",24,"1",1,"3","1","2","Case"
"3725",28,"2",4,"2","0","1","Case"
"3726",42,"2",3,"2","0","2","Case"
"3728",70,"2",5,"1","0","2","Control"
"4447",70,"2",2,"1","0",NA,"Case"
"4452",39,"2",6,"2","0","3","Case"
"4454",45,"2",4,"3","0","3","Case"
"4455",56,"2",5,"2","0","3","Case"
"4456",67,"2",6,"3","0","3","Case"
"4460",36,"2",4,"3","0","2","Case"
"4461",30,"1",2,"3","1","1","Control"
"4510",52,"2",7,"2","1",NA,"Case"
"4512",46,"2",5,"3","0","2","Control"
"4514",33,"2",6,"3","1","2","Case"
"4518",45,"3",6,"2","1",NA,"Case"
"4519",45,"3",2,"2","1","1","Case"
"4520",56,"3",5,"2","0","3","Case"
"4521",33,"3",4,"2","0","2","Case"
"4522",41,"2",3,"2","0","3","Case"
"4525",40,"3",5,"2","1","0","Control"
"4527",48,"2",6,"3","0","2","Case"
"4529",37,"1",4,"3","1",NA,"Control"
"4530",36,"1",2,"2","1","2","Control"
"4534",55,"2",3,"3","0","2","Control"
"4540",70,"2",5,"2","0","1","Case"
"4541",29,"1",3,"2","0",NA,"Control"
"4544",68,"3",3,"2","1","1","Control"
"4546",61,"3",4,"2","1","2","Case"
"4550",20,"2",2,"3","0","2","Case"
"4551",70,"1",3,"1","0","1","Control"
"4554",66,"3",7,"2","1",NA,"Control"
"4556",55,"1",1,"3","0","2","Case"
"4561",22,"2",6,"2","0","1","Control"
"4562",69,"2",8,"1","0","1","Control"
"4564",32,"1",2,"3","1","2","Case"
"4565",60,"3",4,"2","1",NA,"Case"
"4566",58,"2",5,"2","0","1","Case"
"4567",43,"2",4,"2","0","1","Case"
"4568",59,"2",6,"3","0","2","Case"
"4569",62,"3",3,"2","0","2","Case"
"4570",65,"2",4,"3","0",NA,"Control"
"4571",54,"2",11,"2","0","1","Control"
"4572",57,"2",3,"2","1",NA,"Case"
"4574",59,"3",2,"3","1","0","Control"
"4616",44,"2",10,"2","0","2","Case"
"4620",65,"2",9,"2","0","0","Control"
"4624",70,"3",1,"2","0","0","Control"
"4625",50,"2",12,"1","0","2","Control"
"4626",68,"3",8,"0","1",NA,"Control"
"4627",34,"2",4,"2","0","1","Control"
"4748",24,"1",1,"2","0","2","Case"
"4749",32,"2",5,"2","0","2","Case"
"4783",46,"2",6,"3","0","3","Case"
"4788",41,"2",4,"3","0","3","Case"
"4791",70,"2",6,"2","0","1","Control"
"4792",63,"2",5,"2","0","2","Control"
"4795",68,"2",5,"3","0","0","Case"
"4797",59,"2",5,"2","1","2","Case"
"4798",29,"2",3,"2","0","3","Control"
"4799",28,"2",2,"3","0","2","Control"
"4800",54,"2",6,"3","0","2","Control"
"4801",46,"3",3,"2","1",NA,"Control"
"4805",40,"2",4,"3","0","3","Case"
"4828",45,"2",6,"2","0","2","Case"
"4831",60,"3",1,"2","1","2","Case"
"4832",32,"2",6,"3","0","2","Case"
"4833",56,"2",4,"2","0","2","Case"
"4834",45,"1",1,"2","0","2","Case"
"4835",36,"2",5,"3","0","2","Case"
"4840",34,"1",1,"2","0","2","Case"
"4841",69,"3",1,"1","1","2","Case"
"4928",68,"3",7,"1","0","1","Case"
"4929",51,"2",7,"3","0","3","Case"
"4932",37,"2",4,"2","0","2","Case"
"4958",45,"2",3,"3","0","2","Case"
"4959",55,"2",3,"2","1",NA,"Control"
"4961",25,"2",4,"2","0","2","Case"
"4964",69,"3",3,"1","0",NA,"Case"
"5058",39,"2",8,"1","0","2","Control"
"5062",54,"2",6,"1","0","2","Case"
"5063",65,"2",2,"3","0","1","Control"
"5064",65,"1",7,"1","0","2","Control"
"5070",64,"2",10,"2","0","2","Control"
"5071",23,"2",3,"2","0","2","Control"
